female,gender_not_specified,male,not_cis,asexual,bi/pan/demi_sexual,heterosexual,homosexual,queer,income,casual_dating,non_romantic_relationship,serious_dating,basic_education,graduate,undergrad,rural_location,semi_urban_location,urban_location,air_zodiac_sign,earth_zodiac_sign,fire_zodiac_sign,water_zodiac_sign,age,bio_length,likes_received,emoji_usage_rate,message_sent_count
0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,57,315,173,0.24,72
0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,30,345,119,0.25,27
0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,24,75,57,0.39,3
0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,36,335,102,0.27,88
1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,25,237,116,0.54,85
0,0,0,1,0,0,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0,0,1,48,230,190,0.71,33
0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,28,163,60,0.22,69
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,32,105,119,0.66,53
0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,58,279,137,0.1,77
0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,45,239,185,0.39,16
0,0,0,1,0,0,1,0,0,2,0,0,1,0,1,0,0,0,1,0,0,1,0,36,108,66,0.27,58
0,0,0,1,0,1,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,56,332,13,0.08,8
1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,51,238,144,0.4,89
0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,53,203,173,0.33,91
0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,1,0,1,0,0,44,272,200,0.11,54
0,0,0,1,1,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,1,0,41,235,162,0.51,90
0,1,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,1,52,425,82,0.19,11
0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,27,174,90,0.1,35
0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,29,353,142,0.13,60
0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,37,242,169,0.1,70
0,1,0,0,1,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,1,42,161,30,0.03,15
1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,45,426,152,0.32,24
1,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,1,40,483,141,0.25,16
0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,48,33,122,0.36,51
0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,32,305,195,0.09,79
0,0,0,1,0,0,0,0,1,2,0,1,0,0,1,0,1,0,0,0,0,0,1,46,50,156,0.38,97
0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,41,304,104,0.36,60
0,0,0,1,0,1,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,1,0,30,411,160,0.28,25
1,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,1,0,0,1,0,0,0,54,291,152,0.11,36
0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,52,455,20,0.42,55
0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,34,265,10,0.04,83
0,0,0,1,0,1,0,0,0,2,0,1,0,0,1,0,1,0,0,1,0,0,0,25,53,85,0.45,20
0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,52,442,29,0.15,65
0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,29,26,160,0.13,26
0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,54,282,181,0.08,1
1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,38,427,180,0.55,61
0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,59,212,197,0.34,43
0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,33,390,88,0.28,69
1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,40,195,180,0.55,49
0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,44,445,3,0.31,83
0,0,0,1,1,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,1,46,320,97,0.19,91
0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,1,0,1,0,0,0,0,1,23,360,25,0.24,12
0,0,1,0,0,0,1,0,0,2,0,1,0,1,0,0,1,0,0,1,0,0,0,33,210,37,0.34,72
1,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,1,0,0,0,1,0,23,236,149,0.5,81
0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,41,492,150,0.43,54
0,0,0,1,0,1,0,0,0,2,0,1,0,0,1,0,0,0,1,0,1,0,0,32,358,91,0.22,37
0,0,0,1,0,0,1,0,0,2,0,1,0,1,0,0,0,1,0,0,0,1,0,39,310,198,0.39,45
0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,0,1,0,0,0,1,0,0,25,17,79,0.18,74
0,0,1,0,0,1,0,0,0,2,0,1,0,0,1,0,1,0,0,1,0,0,0,21,467,93,0.4,34
0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,18,404,142,0.54,50
0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,1,29,241,27,0.32,3
0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,41,484,29,0.39,4
0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,18,372,107,0.42,19
0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,36,278,25,0.25,82
0,0,0,1,0,1,0,0,0,2,0,1,0,0,1,0,0,0,1,0,0,1,0,21,124,12,0.42,16
0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,54,66,70,0.28,69
0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,26,64,44,0.25,94
0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,18,22,128,0.39,93
0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,55,37,182,0.54,10
0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,50,309,75,0.16,55
0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,40,160,106,0.47,54
0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,43,300,33,0.39,71
0,0,0,1,1,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,1,0,0,49,259,90,0.51,27
1,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,1,0,0,0,0,1,0,48,219,146,0.12,71
0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,58,445,89,0.34,18
0,0,1,0,0,0,0,1,0,2,1,0,0,1,0,0,1,0,0,1,0,0,0,44,174,96,0.62,20
0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,52,217,69,0.34,62
0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,41,23,134,0.24,28
0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,57,382,30,0.19,55
0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,26,471,111,0.58,9
0,0,0,1,0,1,0,0,0,2,0,1,0,0,1,0,1,0,0,0,1,0,0,31,485,83,0.46,79
0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,59,381,101,0.13,43
0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,53,131,60,0.12,25
0,1,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,1,0,1,0,0,0,57,329,114,0.52,81
1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,50,158,90,0.47,59
0,0,0,1,0,1,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,1,0,39,488,118,0.24,94
0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,53,175,26,0.12,91
0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,23,198,95,0.14,52
0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,47,336,64,0.61,77
0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,31,329,79,0.45,42
0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,36,248,87,0.21,24
0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,34,305,196,0.13,48
0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,24,385,113,0.14,95
1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,1,1,0,0,0,34,398,118,0.29,48
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,24,364,141,0.33,66
1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,34,212,89,0.22,6
1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,31,146,37,0.17,60
0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,51,147,108,0.12,30
1,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,1,0,0,0,1,0,0,26,123,4,0.02,91
0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,36,278,92,0.15,64
0,0,0,1,0,0,0,0,1,2,0,1,0,0,1,0,0,0,1,0,0,1,0,29,176,91,0.36,30
0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,28,356,199,0.47,61
0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,37,278,131,0.49,60
0,0,0,1,1,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,0,1,0,31,458,102,0.38,49
0,1,0,0,0,0,0,0,1,2,0,0,1,0,1,0,1,0,0,0,0,0,1,37,421,20,0.69,23
0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,1,1,0,0,0,1,0,0,59,179,42,0.38,57
0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,1,44,383,93,0.27,86
0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,23,16,98,0.08,77
0,0,0,1,1,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,1,53,142,101,0.48,31
0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,36,469,156,0.15,62
0,0,1,0,0,0,0,0,1,2,0,1,0,0,1,0,0,1,0,0,1,0,0,31,277,181,0.27,37
0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,58,239,141,0.09,70
0,0,1,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,1,0,1,0,0,38,37,32,0.37,57
0,0,0,1,0,0,0,1,0,2,0,1,0,1,0,0,0,1,0,1,0,0,0,53,155,31,0.16,21
0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,59,273,160,0.13,11
0,0,0,1,0,0,0,1,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,18,295,11,0.2,33
0,0,0,1,0,0,1,0,0,2,0,1,0,0,1,0,0,0,1,0,0,1,0,24,350,62,0.19,51
0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,26,441,155,0.15,91
0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,35,126,31,0.17,18
0,0,0,1,0,1,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,1,55,255,48,0.08,65
0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,27,144,90,0.18,63
0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,54,26,93,0.12,72
0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,37,60,159,0.27,16
0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,30,170,9,0.08,60
0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,22,424,151,0.13,65
0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,55,446,78,0.03,88
0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,1,1,0,0,1,0,0,0,25,369,43,0.12,79
0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,59,256,176,0.54,99
0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,25,235,96,0.16,68
0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,25,394,57,0.19,36
0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,39,419,97,0.09,44
0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,43,356,137,0.17,34
0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,27,241,105,0.06,12
0,0,0,1,0,0,0,1,0,2,1,0,0,0,1,0,0,0,1,0,0,1,0,21,30,82,0.41,98
1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,44,474,191,0.21,37
0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,41,239,34,0.54,34
1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,50,98,145,0.4,22
0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,58,196,63,0.21,30
0,0,0,1,0,0,1,0,0,2,0,1,0,0,1,0,1,0,0,0,1,0,0,22,207,119,0.09,87
0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,55,310,39,0.29,47
0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,0,0,1,0,1,0,0,0,40,31,19,0.24,70
0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,25,46,183,0.62,65
1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,20,130,185,0.17,0
0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,33,92,8,0.15,98
0,0,0,1,0,1,0,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,1,24,178,34,0.09,15
0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,36,217,172,0.64,68
0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,55,392,169,0.2,2
0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,34,111,112,0.24,96
0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,50,338,60,0.22,66
0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,19,482,126,0.37,82
0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,22,115,121,0.23,38
0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,47,40,52,0.14,57
0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,51,300,48,0.32,92
0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,41,468,191,0.21,31
0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,48,262,78,0.39,63
0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,37,478,4,0.37,74
0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,23,172,140,0.07,32
0,0,0,1,0,0,0,1,0,2,1,0,0,0,1,0,1,0,0,0,0,1,0,50,328,125,0.14,7
0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,26,233,2,0.23,47
0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,57,274,135,0.08,36
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,26,136,64,0.15,50
0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,45,193,23,0.29,70
0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,47,117,135,0.23,27
0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,1,58,161,45,0.32,2
0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,50,378,84,0.19,17
0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,52,324,198,0.14,34
0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,44,137,182,0.45,19
0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,48,52,92,0.52,16
0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,36,211,98,0.12,49
1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,59,85,126,0.41,55
0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,34,155,117,0.28,0
0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,21,102,82,0.26,61
0,0,0,1,0,1,0,0,0,2,0,1,0,0,1,0,1,0,0,1,0,0,0,18,201,71,0.51,46
0,0,0,1,0,0,0,1,0,2,0,0,1,0,1,0,1,0,0,0,0,0,1,25,425,112,0.14,88
1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,19,298,114,0.25,51
0,0,0,1,0,0,1,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,1,43,340,196,0.55,45
0,0,1,0,0,1,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,1,44,285,130,0.21,74
0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,21,471,26,0.25,10
0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,48,356,24,0.2,57
0,0,1,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,1,0,0,1,0,24,89,189,0.38,70
0,0,0,1,0,0,0,0,1,2,0,1,0,0,1,0,0,1,0,0,1,0,0,53,314,101,0.05,25
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,29,446,147,0.11,68
1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,46,58,156,0.39,44
1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,51,93,61,0.05,47
0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,23,476,177,0.37,22
0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,27,417,124,0.34,49
0,0,0,1,0,0,0,0,1,2,0,1,0,0,1,0,0,0,1,0,0,1,0,37,16,7,0.31,35
1,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,1,41,278,29,0.4,46
0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,48,44,89,0.16,56
0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,30,291,52,0.05,44
0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,1,1,0,0,1,0,0,0,33,69,173,0.3,96
0,1,0,0,0,0,0,1,0,2,0,1,0,1,0,0,1,0,0,0,0,1,0,39,346,63,0.56,50
0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,50,142,103,0.18,88
0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,54,495,16,0.2,54
0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,42,401,11,0.38,58
0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,33,47,40,0.35,83
0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,30,360,109,0.15,12
0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,50,61,178,0.26,54
0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,50,416,35,0.23,96
0,0,1,0,0,0,1,0,0,2,0,1,0,1,0,0,0,1,0,0,1,0,0,28,470,160,0.19,52
1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,37,71,109,0.19,31
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,52,151,48,0.52,82
0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,40,429,33,0.42,72
0,1,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,1,0,1,0,0,44,472,67,0.69,7
0,1,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,1,0,58,42,157,0.43,39
1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,26,473,14,0.06,55
0,0,0,1,0,0,1,0,0,2,1,0,0,1,0,0,1,0,0,0,0,1,0,36,254,179,0.15,44
1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,1,0,1,0,0,0,47,32,109,0.15,33
0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,32,52,40,0.39,73
1,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,1,0,0,1,0,43,91,98,0.05,4
1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,32,461,30,0.06,6
0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,37,102,116,0.62,37
